city,temperature,traffic_density,green_cover,humidity,wind_speed,aqi
Indore,32,4200,26,58,11,168
Indore,28,3100,30,72,14,112
Indore,35,5100,22,45,9,195
Indore,30,3800,28,65,13,142
Ujjain,34,8200,40,46,9,188
Ujjain,36,9500,38,42,8,215
Ujjain,31,6400,44,55,12,145
Ujjain,33,7800,42,48,10,172
Ujjain,29,5200,46,68,15,118
Delhi,39,12500,12,38,7,268
Delhi,42,13200,10,35,6,302
Delhi,34,10800,16,48,9,228
Delhi,37,11800,14,42,8,255
Mumbai,31,8800,20,82,16,178
Mumbai,29,7600,24,88,14,155
Mumbai,33,9400,18,76,18,192
Mumbai,30,8200,22,85,15,165
Bhopal,33,3600,34,54,12,138
Bhopal,30,3200,38,62,10,108
Bhopal,35,4100,30,48,8,158
Bhopal,32,3900,36,52,11,128
